Rank,Player,Fish Caught
#1,osnyatsky*,4328
#2,sicklymaidrobot,2966
#3,qu4ttromila,2283
#4,puzzlow,2232
#5,kishma9,2190
#6,sussy_amonge,2124
#7,derinturitierutz,2043
#8,dayzedinndaydreams,1817
#9,miiiiisho*,1600
#10,booty_bread,1582
#11,bussinongnocap,754
#12,crazytown_bananapants,744
#13,paras220,731
#14,ryebreadward,727
#15,ouacewi,644
#16,ninjaross*,599
#16,xth49*,599
#18,fishingalt,596
#19,chubbyhamster2222,549
#20,trident1011,542
#21,xz_xz,527
#21,islcfc*,527
#23,doublehelicalstructure*,384
#24,kildofris*,373
#25,julialuxel,340
#26,lzvli*,324
#27,realtechnine,293
#28,crinche*,277
#29,kaasppeerr,238
#30,supibot,232
#31,leanmeister,228
#32,itsalot_tlike*,217
#33,hmsmob*,201
#34,mitgliederversammlung,198
#35,yliathim*,177
#36,breadworms,164
#37,5pic3*,158
#38,lagggm*,146
#39,niiy,141
#40,wisco9ers*,140
#41,wispmode,130
#42,dougiefresh_83*,128
#42,fallen_angels_1995,128
#44,comiqq,122
#45,jackwhalebreaker,109
#46,divra__,104